workload,flops,actual_flops,batch_size,precision,param_count,ml_cpu_j,ml_gpu_j,ml_npu_j,ml_best_hw,rocm_power_before_w,rocm_power_after_w,rocm_avg_power_w,rocm_temp_c,rocm_clock_mhz,latency_s,measured_energy_j,pred_error_pct,matrix_n,timestamp
"Small  (batch=1,  FP32)",100000000.0,10485760,1,FP32,1000000.0,0.07163818247863404,0.985858720190624,0.003651942909900309,NPU,14.0,15.0,14.5,48.0,1600.0,7.35143999918364e-05,0.0010659587998816276,99.8918750954827,1024,2026-02-27T23:03:41
"Medium (batch=8,  FP16)",1000000000.0,83886080,8,FP16,5000000.0,0.3304153347111351,0.985263210918767,0.004655149206089256,NPU,21.0,17.0,19.0,46.0,1600.0,0.032165224799973656,0.6111392711994995,37.97197901770771,1024,2026-02-27T23:03:42
"Large  (batch=32, FP32)",10000000000.0,335544320,32,FP32,10000000.0,5.796878983850252,1.0308538794240765,0.11010015001970155,NPU,17.0,17.0,17.0,47.0,1600.0,0.0002329737995751202,0.003960554592777043,99.61579864306378,1024,2026-02-27T23:03:44
"Small  (batch=1,  FP32)",100000000.0,10485760,1,FP32,1000000.0,0.07163818247863407,0.9858587201906236,0.003651942909900309,NPU,15.0,17.0,16.0,51.0,1600.0,7.840540056349709e-05,0.0012544864090159535,99.87275190822744,1024,2026-02-27T23:06:40
"Medium (batch=8,  FP16)",1000000000.0,83886080,8,FP16,5000000.0,0.33041533471113504,0.9852632109187675,0.004655149206089256,NPU,15.0,14.0,14.5,45.0,1600.0,0.030304896600137,0.43942100070198653,55.4006486964816,1024,2026-02-27T23:06:42
"Large  (batch=32, FP32)",10000000000.0,335544320,32,FP32,10000000.0,5.796878983850251,1.0308538794240765,0.11010015001970161,NPU,17.0,15.0,16.0,47.0,1600.0,0.014908126200316474,0.2385300192050636,76.86092821047276,1024,2026-02-27T23:06:44
"Small  (batch=1,  FP32)",100000000.0,10485760,1,FP32,1000000.0,0.07163818247863404,0.985858720190624,0.0036519429099003096,NPU,14.0,21.0,17.5,46.0,1600.0,0.00010283480005455204,0.0017996090009546606,99.81745771842373,1024,2026-02-27T23:13:27
"Medium (batch=8,  FP16)",1000000000.0,83886080,8,FP16,5000000.0,0.33041533471113504,0.9852632109187675,0.004655149206089256,NPU,16.0,21.0,18.5,44.0,1600.0,0.030641103399830172,0.5668604128968582,42.466093667675324,1024,2026-02-27T23:13:29
"Large  (batch=32, FP32)",10000000000.0,335544320,32,FP32,10000000.0,5.796878983850251,1.0308538794240765,0.11010015001970157,NPU,21.0,17.0,19.0,47.0,1600.0,0.00024214479999500326,0.004600751199905062,99.55369511705427,1024,2026-02-27T23:13:31
"Small  (batch=1,  FP32)",100000000.0,10485760,1,FP32,1000000.0,0.07811486577073973,0.8180345876780547,0.0037072173446963228,NPU,20.0,24.0,22.0,55.0,1600.0,5.95926001551561e-05,0.0013110372034134342,99.83973327984398,1024,2026-02-27T23:16:24
"Medium (batch=8,  FP16)",1000000000.0,83886080,8,FP16,5000000.0,0.3578163188454846,0.9699660513879504,0.004579742525460269,NPU,12.0,16.0,14.0,45.0,1600.0,0.0301753636005742,0.4224550904080388,56.44640451039121,1024,2026-02-27T23:16:26
"Large  (batch=32, FP32)",10000000000.0,335544320,32,FP32,10000000.0,5.967911166918788,0.9069853032696746,0.11573526552099762,NPU,29.0,22.0,25.5,48.0,1600.0,0.012668890599888983,0.32305671029716904,64.38126294521507,1024,2026-02-27T23:16:28
